category,condition,stimulus,group,attention_check
Demo,Demo,Imagine a castle on a hill,1,0
Face,Imagery,Imagine an old person's face,1,0
Face,Imagery,Imagine a face wearing makeup,1,1
Speech,Memory,Remember your parent's voice,1,0
Speech,Imagery,Imagine reciting the alphabet,1,0
Speech,Imagery,Imagine reciting your street address,1,0
Face,Memory,Remember your former teacher's face,1,0
Speech,Memory,Remember your nurse's voice,1,0
Scene,Memory,Remember your bathroom,1,2
Scene,Memory,Remember a local grocery store,1,0
Face,Memory,Remember your grandparent's face,1,0
Scene,Imagery,Imagine a sunrise over the sea,1,0
Scene,Imagery,Imagine a mountain range,1,0
Face,Memory,Remember a famous movie actor's face,1,0
Speech,Imagery,Imagine repeating your family's names,1,0
Scene,Imagery,Imagine a city skyline,1,3
Speech,Memory,Remember the current president's voice,1,0
Scene,Memory,Remember a restaurant you like,1,0
Demo,Demo,Imagine a castle on a hill,2,0
Face,Imagery,Imagine an old person's face,2,0
Face,Memory,Remember your face as it looked this morning,2,1
Scene,Memory,Remember the outside of the hospital,2,0
Speech,Imagery,Imagine reciting the alphabet,2,0
Face,Imagery,Imagine putting on a face mask,2,0
Face,Memory,Remember your former teacher's face,2,0
Speech,Memory,Remember a close friend's voice,2,0
Scene,Memory,Remember the front door of your home,2,2
Scene,Memory,Remember a local grocery store,2,0
Scene,Imagery,Imagine a busy shopping mall,2,0
Speech,Imagery,Imagine reciting names of US presidents,2,0
Scene,Imagery,Imagine a mountain range,2,0
Speech,Imagery,Imagine reciting colors of the rainbow,2,0
Scene,Imagery,Imagine an ice cream store,2,0
Face,Imagery,Imagine someone with a nose ring,2,3
Speech,Memory,Remember the current president's voice,2,0
Speech,Memory,Remember your former teacher's voice,2,0
Demo,Demo,Imagine a castle on a hill,3,0
Face,Imagery,Imagine an old person's face,3,0
Speech,Imagery,Imagine reciting the days of the week,3,1
Face,Memory,Remember your face as it looks now,3,0
Speech,Imagery,Imagine reciting the alphabet,3,0
Scene,Memory,Remember a park that you like ,3,0
Face,Memory,Remember your former teacher's face,3,0
Speech,Memory,Remember your grandparent's voice,3,0
Scene,Imagery,Imagine a children's playground ,3,2
Scene,Memory,Remember a local grocery store,3,0
Scene,Memory,Remember your kitchen,3,0
Face,Imagery,Imagine a man who is sad,3,0
Scene,Imagery,Imagine a mountain range,3,0
Speech,Imagery,Imagine counting backwards from 10,3,0
Face,Imagery,Imagine a woman who is smiling,3,0
Speech,Memory,Remember a work colleague's voice,3,3
Speech,Memory,Remember the current president's voice,3,0
Face,Memory,Remember a celebrity's face,3,0
Demo,Demo,Imagine a castle on a hill,4,0
Face,Imagery,Imagine an old person's face,4,0
Scene,Memory,Remember your childhood home,4,1
Speech,Imagery,Imagine names of schools you've attended,4,0
Speech,Imagery,Imagine reciting the alphabet,4,0
Scene,Memory,Remember your bedroom,4,0
Face,Memory,Remember your former teacher's face,4,0
Face,Imagery,Imagine a girl with braces,4,0
Face,Memory,Remember a work colleague's face,4,2
Scene,Memory,Remember a local grocery store,4,0
Scene,Imagery,Imagine an aquarium,4,0
Face,Memory,Remember your former classmate's face,4,0
Scene,Imagery,Imagine a mountain range,4,0
Face,Imagery,Imagine a clown's face,4,0
Speech,Imagery,Imagine reciting famous movie titles,4,0
Scene,Imagery,Imagine a movie theater,4,3
Speech,Memory,Remember the current president's voice,4,0
Speech,Memory,Remember your former classmate's voice,4,0
Demo,Demo,Imagine a castle on a hill,5,0
Face,Imagery,Imagine an old person's face,5,0
Face,Imagery,Imagine a boy with freckles,5,1
Speech,Imagery,Imagine counting up from 5,5,0
Speech,Imagery,Imagine reciting the alphabet,5,0
Scene,Imagery,Imagine an old church,5,0
Face,Memory,Remember your former teacher's face,5,0
Face,Memory,Remember your parent's face,5,0
Speech,Imagery,Imagine reciting your phone number,5,2
Scene,Memory,Remember a local grocery store,5,0
Face,Imagery,Imagine a bearded face,5,0
Scene,Memory,Remember your work place,5,0
Scene,Imagery,Imagine a mountain range,5,0
Face,Memory,Remember a close friend's face,5,0
Speech,Memory,Remember a famous celebrity's voice,5,0
Scene,Imagery,Imagine a nature trail in the summer,5,3
Speech,Memory,Remember the current president's voice,5,0
Speech,Memory,Remember the researcher's voice,5,0
Demo,Demo,Imagine a castle on a hill,6,0
Face,Imagery,Imagine an old person's face,6,0
Scene,Memory,Remember your high school,6,1
Face,Memory,Remember your face when you were younger,6,0
Speech,Imagery,Imagine reciting the alphabet,6,0
Scene,Imagery,Imagine a college campus,6,0
Face,Memory,Remember your former teacher's face,6,0
Face,Imagery,Imagine drawing a face with a pencil,6,0
Scene,Imagery,Imagine visiting a new museum,6,2
Scene,Memory,Remember a local grocery store,6,0
Speech,Memory,Remember your cousin's voice,6,0
Scene,Memory,Remember your current neighborhood,6,0
Scene,Imagery,Imagine a mountain range,6,0
Face,Memory,Remember the president's face,6,0
Speech,Imagery,Imagine reciting the months of the year,6,0
Face,Imagery,Imagine a baby's face,6,3
Speech,Memory,Remember the current president's voice,6,0
Speech,Memory,Remember your doctor's voice,6,0