condition,stimulus
Scene,Imagine a sunrise over the sea
Scene,Imagine an aquarium
Scene,Imagine an ice cream store
Scene,Imagine an old church
Scene,Imagine a mountain range
Scene,Imagine a city skyline
Scene,Imagine a college campus
Scene,Imagine visiting a new museum
Scene,Imagine a movie theater
Scene,Imagine a nature trail in the summer
Scene,Imagine a children's playground 
Scene,Imagine a busy shopping mall
Scene,Imagine a sailboat out on the ocean
Scene,Imagine a circus performance in a tent
Scene,Imagine a group of ducks swimming
Scene,Imagine the inside of a doctor's office
Scene,Imagine a children's birthday party
Scene,Imagine moving through a crowded airport
Scene,Imagine visiting a library filled with books
Scene,Imagine sitting in traffic on the highway
Scene,Imagine attending a holiday event
Scene,Imagine a river running through a forest
Scene,Imagine a thunderstorm over a field
Scene,Imagine a garden filled with plants
Scene,Imagine a theatrical play on stage
Scene,Imagine a casino with slot machines
Scene,Imagine an archery range
Scene,Imagine a canyon in a desert
Scene,Imagine a back alley with trash bins
Scene,Imagine walking inside a dark cave
Scene,Imagine walking in a field with tall grass
Scene,Imagine a public golf course
Scene,Imagine an underpass under a bridge
Scene,Imagine a swimming pool
Scene,Imagine a kite flying high in the sky
Scene,Imagine a high-end jewelry store
Scene,Imagine an art studio
Scene,Imagine watching a ballet performance
Scene,Imagine a cubicle office with a desk
Scene,Imagine a wall covered with graffiti
Face,Imagine drawing a face with a pencil
Face,Imagine someone putting on a face mask
Face,Imagine a face wearing makeup
Face,Imagine a baby's face
Face,Imagine a bearded face
Face,Imagine a woman who is smiling
Face,Imagine a man who is sad
Face,Imagine an old person's face
Face,Imagine a clown's face
Face,Imagine a girl with braces
Face,Imagine a boy with freckles
Face,Imagine someone with a nose ring
Face,Imagine a person who is afraid
Face,Imagine a person who is confused
Face,Imagine a person who is grimacing in pain
Face,Imagine the face of a bald man
Face,Imagine the face of a girl with pigtails
Face,Imagine a person who is disgusted
Face,Imagine a person with a forehead scar
Face,Imagine a young girl who is wearing glasses
Face,Imagine a person who is shocked and surprised
Face,Imagine a person who is angry
Face,Imagine a boy wearing goggles
Face,Imagine a man with a face tattoo
Face,Imagine a man with an unshaven stubbly chin
Face,Imagine a woman with brown eyes
Face,Imagine a man with a mustache
Face,Imagine a woman with fake eyelashes
Face,Imagine a young man's sunburned face
Face,Imagine a teenager's face with acne
Face,Imagine a woman lifting her eyebrow
Face,Imagine a girl sticking her tongue out
Face,Imagine a boy winking
Face,Imagine a woman laughing
Face,Imagine a person eating something sour
Face,Imagine a smiling child with dimples
Face,Imagine a criminal's mugshot
Face,Imagine a face with shaving cream
Face,Imagine a girl crossing her eyes
Face,Imagine a woman squinting in the sunlight
Speech-Imagery,Imagine listening to an audiobook
Speech-Imagery,Imagine a PA announcement
Speech-Imagery,Imagine a radio sports announcer
Speech-Imagery,Imagine a radio interview
Speech-Imagery,Imagine using a walkie talkie
Speech-Imagery,Imagine hearing a couple arguing
Speech-Imagery,Imagine talking on the phone
Speech-Imagery,Imagine talking to a cashier
Speech-Imagery,Imagine a person with a lisp
Speech-Imagery,Imagine a person telling a story
Speech-Imagery,Imagine a person with an accent
Speech-Imagery,Imagine a person with a stutter
Speech-Imagery,Imagine a person speaking while chewing
Speech-Imagery,Imagine a person speaking while crying
Speech-Imagery,Imagine a radio news story
Speech-Imagery,Imagine hearing a teacher talk
Speech-Imagery,Imagine a voiceover in a documentary
Speech-Imagery,Imagine ordering at a drive thru
Speech-Imagery,imagine a tour guide speaking
Speech-Imagery,Imagine someone giving a speech
Speech-Imagery,Imagine two people whispering
Speech-Imagery,Imagine a person rapping
Speech-Imagery,Imagine a cheer squad chanting
Speech-Imagery,Imagine a teacher reading a kid's story
Speech-Imagery,Imagine an auctioneer speaking
Speech-Imagery,Imagine a hoarse person speaking
Speech-Imagery,Imagine a congested person speaking
Speech-Imagery,Imagine people talking at a meal
Speech-Imagery,Imagine a waiter asking for an order
Speech-Imagery,Imagine a person singing loudly
Speech-Imagery,Imagine hearing a phone voice assistant
Speech-Imagery,Imagine a pilot on an airplane intercom
Speech-Imagery,Imagine a person mumbling an apology
Speech-Imagery,Imagine a child whining about a toy
Speech-Imagery,Imagine hearing your voice echoing
Speech-Imagery,Imagine a heavy smoker speaking
Speech-Imagery,Imagine hearing a crowd at a football game
Speech-Imagery,Imagine a person speaking excitedly
Speech-Imagery,Imagine someone using baby talk
Speech-Imagery,Imagine an elevator voice saying the floor
Speech-Inner,Imagine reciting your phone number
Speech-Inner,Imagine reciting colors of the rainbow
Speech-Inner,Imagine repeating your family's names
Speech-Inner,Imagine reciting the alphabet
Speech-Inner,Imagine the names of US presidents
Speech-Inner,Imagine reciting your street address
Speech-Inner,Imagine reciting famous movie titles
Speech-Inner,Imagine counting down from 20
Speech-Inner,Imagine counting up from 5
Speech-Inner,Imagine reciting the days of the week
Speech-Inner,Imagine reciting the months of the year
Speech-Inner,Imagine the names of schools you've attended
Speech-Inner,Imagine your family's birth dates
Speech-Inner,Imagine the names of major cities
Speech-Inner,Imagine listing names of fruits
Speech-Inner,Imagine listing the US states
Speech-Inner,Imagine listing names of countries
Speech-Inner,Imagine explaining your job
Speech-Inner,Imagine the names of instruments
Speech-Inner,Imagine listing names of animals
Speech-Inner,Imagine words that start with C
Speech-Inner,Imagine the words to Happy Birthday
Speech-Inner,Imagine the names of body parts
Speech-Inner,Imagine describing the weather
Speech-Inner,Imagine listing genres of movies
Speech-Inner,Imagine giving directions to your home
Speech-Inner,Imagine words that rhyme with ice
Speech-Inner,Imagine words that rhyme with cat
Speech-Inner,Imagine reciting the alphabet from P
Speech-Inner,Imagine listing types of jewelry
Speech-Inner,Imagine explaining a recipe
Speech-Inner,Imagine words that rhyme with pan
Speech-Inner,Imagine listing types of clothing
Speech-Inner,Imagine words that rhyme with row
Speech-Inner,Imagine words that start with B
Speech-Inner,Imagine words that start with S
Speech-Inner,Imagine words that start with T
Speech-Inner,Imagine giving an excuse
Speech-Inner,Imagine counting up from 50
Speech-Inner,Imagine counting down from 25
Sound,Imagine a church organ playing
Sound,Imagine a saxophone playing
Sound,Imagine an opera singer's voice
Sound,Imagine singing a karaoke song
Sound,Imagine hearing a choir singing
Sound,Imagine a trumpet playing 'Happy Birthday'
Sound,Imagine a rock song playing on the radio
Sound,Imagine a violin playing a tune
Sound,Imagine hearing a piece of paper being torn
Sound,Imagine cars honking in city traffic
Sound,Imagine a racecar driving past
Sound,Imagine the sound of wood being sawed
Sound,Imagine the sound of crickets chirping
Sound,Imagine you can hear a helicopter
Sound,Imagine the roar of a lion
Sound,Imagine hearing a waterfall
Sound,Imagine hearing a microwave beep
Sound,Imagine a piano being played
Sound,Imagine a guitar being played
Sound,Imagine hearing a car engine start
Sound,Imagine the sound of birds singing
Sound,Imagine hearing a vacuum cleaner
Sound,Imagine a doorbell ringing
Sound,Imagine hearing church bells tolling
Sound,Imagine hearing chalk on a chalkboard
Sound,Imagine the sounds of a construction site
Sound,Imagine the sound of a crowd applauding
Sound,Imagine elevator music
Sound,Imagine a baby crying
Sound,Imagine the sound of typing
Sound,Imagine a police siren
Sound,Imagine the sound of splashing water
Sound,Imagine the sound of a clock ticking
Sound,Imagine hearing a phone ringing
Sound,Imagine the sound of a dog barking
Sound,Imagine you can hear a babbling brook
Sound,Imagine the sound of a fire engine
Sound,Imagine the sound of radio static
Sound,Imagine the sound of popcorn popping
Sound,Imagine the sound of someone sneezing